,0
0,SpecificHeatCapacity_composition_average
1,MeltingT_composition_average
2,HeatVaporization_composition_average
3,BCCvolume_padiff_composition_average
4,NdValence_composition_average
5,IonicRadii_composition_average
6,HeatCapacityMass_composition_average
7,MendeleevNumber_composition_average
8,IsFCC_composition_average
9,GSenergy_pa_composition_average
10,NUnfilled_composition_average
11,HHIr_composition_average
12,ElasticModulus_composition_average
13,ElectronAffinity_composition_average
14,valence_composition_average
15,BCCmagmom_composition_average
16,MiracleRadius_composition_average
17,BCCenergy_pa_composition_average
18,HeatFusion_composition_average
19,ThirdIonizationEnergy_composition_average
20,FirstIonizationEnergy_composition_average
21,HeatCapacityMolar_composition_average
22,Density_composition_average
23,ShearModulus_composition_average
24,AtomicWeight_composition_average
25,AtomicVolume_composition_average
26,Polarizability_composition_average
27,ThermalConductivity_composition_average
28,BoilingT_composition_average
29,ElectricalConductivity_composition_average
30,BCCfermi_composition_average
31,phi_composition_average
32,ThermalExpansionCoefficient_composition_average
33,HHIp_composition_average
34,AtomicRadii_composition_average
35,Electronegativity_composition_average
36,Column_composition_average
37,NValance_composition_average
38,CovalentRadius_composition_average
39,Group_composition_average
40,BulkModulus_composition_average
41,IonizationEnergy_composition_average
42,n_ws^third_composition_average
43,NsValence_composition_average
44,GSmagmom_composition_average
45,SpaceGroupNumber_composition_average
46,BCCvolume_pa_composition_average
47,CovalentRadii_composition_average
48,SecondIonizationEnergy_composition_average
49,GSvolume_pa_composition_average
50,ICSDVolume_composition_average
51,AtomicNumber_composition_average
52,NpValence_composition_average
53,IsAlkalineEarth_composition_average
54,NdUnfilled_composition_average
55,Number_composition_average
56,IsBCC_composition_average
57,BCCefflatcnt_composition_average
58,GSestFCClatcnt_composition_average
59,GSestBCClatcnt_composition_average
60,IsHexagonal_composition_average
61,Row_composition_average
62,IsDBlock_composition_average
63,NpUnfilled_composition_average
64,Period_composition_average
65,NsUnfilled_composition_average
66,NfValence_composition_average
67,IsBoron_composition_average
68,IsTransitionMetal_composition_average
69,GSbandgap_composition_average
70,IsFBlock_composition_average
71,IsCarbon_composition_average
72,IsRareEarth_composition_average
73,IsNonmetal_composition_average
74,IsMetalloid_composition_average
75,IsMetal_composition_average
76,IsOrthorhombic_composition_average
77,IsRhombohedral_composition_average
78,IsPnictide_composition_average
79,IsChalcogen_composition_average
80,IsTetragonal_composition_average
81,NfUnfilled_composition_average
82,IsAlkali_composition_average
83,IsMonoclinic_composition_average
